Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition,Intermediate_Population
"CD14+, HLA-DR+, CD16-, CX3CR1-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CX3CR1-, HLA-DR+",Classical Monocytes
"CD14+, HLA-DR+, CD16-, SLAN+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+, SLAN+",Classical Monocytes
"CD14+, HLA-DR+, CD16-, SLAN-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+, SLAN-",Classical Monocytes
"CD16hi, CD11b+ grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b+, CD16+, gran",Granulocytes
"CD19+, CD3-, CD14-, CD20-, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20-, CD3-, HLA-DR+",B cells (Other)
"CD19+, CD3-, CD14-, CD20-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20-, CD3-",B cells (Other)
"CD19+, CD3-, CD14-, CD20+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20+, CD3-, HLA-DR+",B cells (Other)
"CD19+, CD3-, CD14-, CD20+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20+, CD3-",B cells (Other)
"CD19+, CD3-, CD14-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD3-",B cells (Other)
"CD16lo, CD11b- grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b-, CD16+, gran",Granulocytes
"CD16lo, CD11b+ grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b+, CD16+, gran",Granulocytes
"CD16hi, CD11b- grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b-, CD16+, gran",Granulocytes
CD16- grans,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD16-, gran",Granulocytes
"CD14+, HLA-DR+, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD40+, HLA-DR+",Monocytes (Unspecified)
"CD16+, CD62L- grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD16+, CD62L-, gran",Granulocytes
CD16+ grans,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD16+, gran",Granulocytes
"CD14lo, HLA-DR+, CD16-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+",Classical Monocytes
"CD14lo, HLA-DR+, CD16+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DRlo, CD16-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+",Classical Monocytes
"CD14+, HLA-DRlo, CD16+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+",Intermediate Monocytes
"CD14+, HLA-DRhi, CD16-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+",Classical Monocytes
"CD14+, HLA-DRhi CD16+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+",Intermediate Monocytes
"CD19+, CD3-, CD14-, CD27+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD27+, CD3-",B cells (Other)
"CD14+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, HLA-DR+",Monocytes (Unspecified)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, CD86-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, CD86+, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, CD40+, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, CD40-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, CD86+, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD2+, CD303-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD2-, CD303-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, CD40+, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, CD40-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD2+, CD303-, HLA-DR+, Lin1-",Myeloid DCs (Unspecified)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD2+, CD303-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD2-, CD303-, HLA-DR+, Lin1-",Myeloid DCs (Unspecified)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, CD40+, HLA-DR+, Lin1-",Myeloid DCs (Unspecified)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, CD40-, HLA-DR+, Lin1-",Myeloid DCs (Unspecified)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, CD86+, HLA-DR+, Lin1-",Myeloid DCs (Unspecified)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, CD86-, HLA-DR+, Lin1-",Myeloid DCs (Unspecified)
SLAN+,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,SLAN+,Non-classical Monocytes
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, ICOS+",CD4+ T cells (Other)
grans,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,gran,Granulocytes
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD2-, CD303-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, CD86-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD3+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, ICOS+",T cells (Unspecified Subtype)
"CD3+, CD4+, CD8-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD8-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD8-, ICOS+",CD4+ T cells (Other)
"CD3+, CD4-, CD8+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+",CD8+ T cells (Other)
"CD3+, CD4-, CD8+, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4-, CD8+",CD8+ T cells (Other)
"CD3+, CD4-, CD8+, CXCR3+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+, CXCR3+",CD8+ T cells (Other)
"CD3+, CD4-, CD8+, CXCR5+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+, CXCR5+",CD8+ T cells (Other)
"CD3+, CD4-, CD8+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+, ICOS+",CD8+ T cells (Other)
"CD3+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, HLA-DR+",T cells (Unspecified Subtype)
"CD3+, CD4-, CD8+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+, HLA-DR+",CD8+ T cells (Other)
"Lin1-, HLA-DR+, BDCA2+, CD11c-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"Lin1-, HLA-DR+, BDCA2-, CD11c+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, HLA-DR+, Lin1-",Myeloid DCs (Unspecified)
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD2+, CD303+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD2-, CD303+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, CD40+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, CD40-, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, CD86+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, CD86-, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD1c+",ul,15,2,12,5,"0.0, 7.0, 90.0, 1.0, 28.0","372, 376","CD11c+, CD1c+, CD303-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+",ul,15,2,12,5,"0.0, 7.0, 90.0, 1.0, 28.0","372, 376","CD11c+, CD141+, CD303-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, HLA-DR+, monocyte, singlet, SLAN-, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, HLA-DR+, monocyte, singlet, SLAN+, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, HLA-DR+, HLA-DR-, monocyte, singlet, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, CD86+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, CX3CR1-, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, CX3CR1+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, CD86-, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b-",ul,14,1,13,2,"0.0, 180.0",387,"CD11b-, CD14+, CD16+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b-",ul,14,1,13,2,"0.0, 180.0",387,"CD11b-, CD14+, CD16-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b+",ul,14,1,13,2,"0.0, 180.0",387,"CD11b+, CD14+, CD16-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
Singlet/WBC/Neutro/CD16+,ul,14,1,13,2,"0.0, 180.0",387,"CD16+, neutro, singlet, WBC",Granulocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16-, CD86+, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16-, CD86-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16-, CX3CR1+, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16-, CX3CR1-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16-, HLA-DR+, HLA-DR-, monocyte, singlet, WBC",Classical Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16-, HLA-DR+, monocyte, singlet, SLAN+, WBC",Classical Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16-, HLA-DR+, monocyte, singlet, SLAN-, WBC",Classical Monocytes
Singlet/WBC/Mono/CD14+/HLADR/CD40+,ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD40+, HLA-DR+, monocyte, singlet, WBC",Monocytes (Unspecified)
Singlet/WBC/Mono/SLAN+,ul,14,1,13,2,"0.0, 180.0",387,"monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
Singlet/WBC/Neutro,ul,14,1,13,2,"0.0, 180.0",387,"neutro, singlet, WBC",Granulocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD14-, CD16-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b+",ul,14,1,13,2,"0.0, 180.0",387,"CD11b+, CD14+, CD16+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c-, CD303+, CD86+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD14-, CD16+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c-, CD303+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c-, CD2+, CD303+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c-, CD2-, CD303+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c-, CD303+, CD86-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD303-, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Myeloid DCs (Unspecified)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141+, CD1c-, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141+, CD1c-, CD2+, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141+, CD1c-, CD2-, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141+, CD1c-, CD303-, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141+, CD1c-, CD303-, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141-, CD1c+, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141-, CD1c+, CD2+, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141-, CD1c+, CD2-, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141-, CD1c+, CD303-, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD141-, CD1c+, CD303-, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD2+, CD303-, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Myeloid DCs (Unspecified)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD2-, CD303-, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Myeloid DCs (Unspecified)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86+",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD303-, CD86+, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Myeloid DCs (Unspecified)
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86-",ul,14,1,13,2,"0.0, 180.0",387,"CD11c+, CD303-, CD86-, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Myeloid DCs (Unspecified)
Singlet/WBC/Mono/CD14+/HLADR,ul,14,1,13,2,"0.0, 180.0",387,"CD14+, HLA-DR+, monocyte, singlet, WBC",Monocytes (Unspecified)
"Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
Singlet/WBC/Neutro/CD16-,ul,14,1,13,2,"0.0, 180.0",387,"CD16-, neutro, singlet, WBC",Granulocytes
